unit_number,address,zillow_url,redfin_url
154,154 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/154-Woodgate-Ln-Paoli-PA-19301/54744089_zpid/,https://www.redfin.com/PA/Paoli/154-Woodgate-Ln-19301/home/39011428
155,155 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/155-Woodgate-Ln-Paoli-PA-19301/54744090_zpid/,https://www.redfin.com/PA/Paoli/155-Woodgate-Ln-19301/home/39011418
156,156 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/156-Woodgate-Ln-Paoli-PA-19301/53164603_zpid/,https://www.redfin.com/PA/Paoli/156-Woodgate-Ln-19301/home/38893114
157,157 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/157-Woodgate-Ln-Paoli-PA-19301/54744091_zpid/,https://www.redfin.com/PA/Paoli/157-Woodgate-Ln-19301/home/39011419
158,158 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/158-Woodgate-Ln-Paoli-PA-19301/54744092_zpid/,https://www.redfin.com/PA/Paoli/158-Woodgate-Ln-19301/home/39011416
159,159 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/159-Woodgate-Ln-Paoli-PA-19301/54744093_zpid/,https://www.redfin.com/PA/Paoli/159-Woodgate-Ln-19301/home/39011417
160,160 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/160-Woodgate-Ln-Paoli-PA-19301/54744094_zpid/,https://www.redfin.com/PA/Paoli/160-Woodgate-Ln-19301/home/39011422
161,161 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/161-Woodgate-Ln-Paoli-PA-19301/54744095_zpid/,https://www.redfin.com/PA/Paoli/161-Woodgate-Ln-19301/home/39011423
162,162 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/162-Woodgate-Ln-Paoli-PA-19301/54744096_zpid/,https://www.redfin.com/PA/Paoli/162-Woodgate-Ln-19301/home/39011420
163,163 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/163-Woodgate-Ln-Paoli-PA-19301/54744097_zpid/,https://www.redfin.com/PA/Paoli/163-Woodgate-Ln-19301/home/39011421
164,164 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/164-Woodgate-Ln-Paoli-PA-19301/54744098_zpid/,https://www.redfin.com/PA/Paoli/164-Woodgate-Ln-19301/home/39011411
165,165 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/165-Woodgate-Ln-Paoli-PA-19301/54744099_zpid/,https://www.redfin.com/PA/Paoli/165-Woodgate-Ln-19301/home/39011412
166,166 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/166-Woodgate-Ln-Paoli-PA-19301/9184657_zpid/,https://www.redfin.com/PA/Paoli/166-Woodgate-Ln-19301/home/38670426
167,167 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/167-Woodgate-Ln-Paoli-PA-19301/54744100_zpid/,https://www.redfin.com/PA/Paoli/167-Woodgate-Ln-19301/home/39011409
168,168 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/168-Woodgate-Ln-Paoli-PA-19301/54744101_zpid/,https://www.redfin.com/PA/Paoli/168-Woodgate-Ln-19301/home/39011410
169,169 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/169-Woodgate-Ln-Paoli-PA-19301/9184658_zpid/,https://www.redfin.com/PA/Paoli/169-Woodgate-Ln-19301/unit-59/home/38670427
170,170 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/170-Woodgate-Ln-Paoli-PA-19301/54744102_zpid/,https://www.redfin.com/PA/Paoli/170-Woodgate-Ln-19301/home/39011414
